grupo,1_acudul_e07_b,2_acusal_e07_b,3_agr_e07_b,4_api_e07_b,5_con_e07_b,6_ene_e07_b,7_for_e07_b,8_ind_e07_b,9_mil_e07_b,10_min_e07_b,11_bov_e07_b,12_por_e07_b,13_pes_e07_b,14_turnat_e07_b,15_tursol_e07_b,16_urb_e07_b
0,0.265,0.708,0.458,0.848,0.665,0.199,0.725,0.226,0.742,0.432,0.719,0.280,0.041,0.406,0.172,0.000
1,0.129,0.565,0.522,0.695,0.615,0.327,0.665,0.144,0.602,0.434,0.634,0.158,0.056,0.436,0.500,0.000
2,0.279,0.875,0.544,0.494,0.360,0.713,0.682,0.278,0.587,0.612,0.849,0.281,0.128,0.265,0.218,0.000
3,0.268,0.728,0.608,0.853,0.674,0.335,0.778,0.235,0.756,0.518,0.752,0.361,0.029,0.585,0.319,0.000
4,0.281,0.761,0.542,0.418,0.332,0.489,0.641,0.268,0.494,0.550,0.784,0.240,0.071,0.253,0.415,0.018
6,0.241,0.725,0.687,0.442,0.446,0.380,0.665,0.231,0.513,0.492,0.750,0.318,0.055,0.370,0.417,0.000
7,0.055,0.176,0.038,0.064,0.085,0.414,0.013,0.000,0.032,0.006,0.000,0.046,0.312,0.090,0.895,0.195
8,0.167,0.635,0.389,0.755,0.551,0.381,0.603,0.318,0.664,0.619,0.631,0.116,0.131,0.472,0.529,0.018
9,0.359,0.682,0.225,0.810,0.625,0.648,0.816,0.260,0.801,0.623,0.788,0.191,,0.421,0.134,0.000
10,0.289,0.785,0.603,0.555,0.422,0.639,0.738,0.246,0.644,0.610,0.806,0.470,0.006,0.388,0.198,0.000
11,0.238,0.764,0.346,0.635,0.507,0.693,0.480,0.480,0.515,0.506,0.531,0.196,0.657,0.479,0.447,0.164
12,0.144,0.561,0.348,0.682,0.557,0.451,0.563,0.451,0.567,0.554,0.544,0.155,0.105,0.492,0.392,0.010
13,0.563,0.714,0.552,0.805,0.629,0.595,0.768,0.362,0.798,0.678,0.826,0.355,,0.343,0.032,0.004
14,0.263,0.789,0.093,0.610,0.409,0.730,0.631,0.375,0.569,0.664,0.714,0.091,0.403,0.336,0.428,0.454
15,0.492,0.791,0.442,0.426,0.390,0.385,0.668,0.271,0.525,0.616,0.842,0.349,,0.236,0.416,0.000
16,0.514,0.753,0.694,0.464,0.415,0.322,0.618,0.275,0.542,0.520,0.839,0.540,,0.202,0.390,0.000
17,0.245,0.719,0.523,0.629,0.360,0.477,0.652,0.597,0.587,0.687,0.710,0.537,0.424,0.319,0.439,0.162
18,0.359,0.740,0.634,0.800,0.593,0.225,0.684,0.247,0.709,0.480,0.766,0.504,0.022,0.374,0.239,0.002
19,0.219,0.728,0.520,0.733,0.496,0.619,0.565,0.447,0.590,0.594,0.598,0.325,0.379,0.538,0.436,0.083
20,0.246,0.726,0.586,0.774,0.572,0.667,0.704,0.367,0.717,0.649,0.735,0.573,0.246,0.497,0.367,0.119
21,0.241,0.735,0.275,0.771,0.523,0.437,0.635,0.447,0.701,0.675,0.687,0.313,0.370,0.429,0.416,0.080
22,0.550,0.685,0.166,0.857,0.705,0.278,0.806,0.272,0.806,0.568,0.798,0.129,,0.428,0.144,0.000
23,0.260,0.800,0.804,0.675,0.405,0.615,0.624,0.352,0.635,0.634,0.711,0.595,0.425,0.335,0.475,0.183
24,0.251,0.708,0.179,0.746,0.546,0.847,0.685,0.341,0.700,0.676,0.729,0.162,0.075,0.445,0.347,0.097
25,0.644,0.726,0.006,0.462,0.406,0.808,0.668,0.422,0.545,0.700,0.852,0.005,,0.213,0.007,0.407
26,0.274,0.792,0.553,0.778,0.479,0.695,0.644,0.675,0.634,0.663,0.608,0.684,0.730,0.567,0.371,0.151
27,0.285,0.762,0.594,0.827,0.451,0.610,0.668,0.580,0.682,0.673,0.649,0.733,0.712,0.604,0.354,0.169
28,0.288,0.651,0.476,0.818,0.552,0.720,0.709,0.387,0.765,0.675,0.768,0.522,,0.537,0.382,0.293
29,0.348,0.393,0.014,0.334,0.258,0.740,0.676,0.433,0.383,0.552,0.495,0.014,,0.215,0.000,0.515
30,0.661,0.665,0.073,0.757,0.622,0.674,0.744,0.377,0.724,0.655,0.828,0.067,,0.397,0.002,0.094
31,0.574,0.745,0.677,0.487,0.420,0.492,0.723,0.331,0.610,0.667,0.862,0.636,,0.206,0.075,0.002
32,0.545,0.674,0.076,0.451,0.377,0.707,0.750,0.381,0.613,0.643,0.879,0.053,,0.253,0.030,0.065
33,0.539,0.739,0.177,0.488,0.388,0.293,0.681,0.279,0.564,0.541,0.853,0.176,,0.157,0.115,0.000
34,0.610,0.705,0.112,0.851,0.704,0.691,0.740,0.382,0.803,0.666,0.835,0.062,,0.398,0.033,0.096
35,0.305,0.615,0.086,0.676,0.322,0.592,0.616,0.654,0.603,0.702,0.620,0.086,0.007,0.288,0.419,0.685
36,0.156,0.575,0.409,0.568,0.477,0.513,0.624,0.361,0.587,0.617,0.646,0.333,0.184,0.375,0.509,0.022
37,0.564,0.758,0.113,0.531,0.427,0.636,0.702,0.455,0.590,0.634,0.866,0.087,,0.387,0.135,0.172
38,0.675,0.601,0.137,0.800,0.734,0.513,0.788,0.274,0.803,0.587,0.811,0.097,,0.348,0.000,0.002
39,0.346,0.614,0.054,0.810,0.649,0.581,0.724,0.389,0.765,0.679,0.743,0.049,,0.592,0.346,0.109
40,0.222,0.680,0.543,0.725,0.564,0.453,0.661,0.339,0.683,0.631,0.643,0.528,0.185,0.417,0.430,0.010
41,0.289,0.752,0.623,0.457,0.343,0.763,0.612,0.381,0.521,0.660,0.764,0.532,0.198,0.225,0.319,0.225
42,0.628,0.536,0.000,0.878,0.774,0.521,0.765,0.333,0.893,0.606,0.783,,,0.414,0.000,0.009
43,0.299,0.573,0.586,0.696,0.352,0.744,0.573,0.544,0.645,0.638,0.592,0.536,,0.441,0.442,0.670
44,0.276,0.632,0.576,0.495,0.276,0.700,0.612,0.478,0.525,0.663,0.593,0.736,0.165,0.276,0.407,0.505
45,0.697,0.613,0.004,0.843,0.718,0.347,0.724,0.305,0.834,0.425,0.782,0.004,,0.561,0.000,0.015
46,0.584,0.435,0.000,0.766,0.666,0.435,0.680,0.281,0.791,0.338,0.738,,,0.343,0.000,0.005
47,0.643,0.490,0.037,0.808,0.713,0.422,0.719,0.300,0.800,0.581,0.739,0.016,,0.531,0.000,0.007
48,0.445,0.596,0.116,0.709,0.446,0.617,0.629,0.435,0.661,0.687,0.695,0.104,,0.389,0.330,0.724
49,0.440,0.579,0.257,0.732,0.404,0.800,0.604,0.703,0.655,0.690,0.629,0.299,,0.295,0.327,0.722
50,0.704,0.583,0.191,0.749,0.619,0.429,0.687,0.318,0.724,0.454,0.805,0.171,,0.320,0.073,0.030
51,0.408,0.607,0.668,0.777,0.550,0.547,0.667,0.377,0.755,0.671,0.758,0.594,,0.426,0.256,0.137
52,0.579,0.652,0.813,0.804,0.457,0.682,0.633,0.578,0.726,0.614,0.781,0.567,,0.442,0.002,0.098
53,0.508,0.367,0.097,0.784,0.728,0.352,0.732,0.254,0.854,0.391,0.728,0.030,,0.447,0.000,0.006
54,0.801,0.497,0.004,0.517,0.434,0.500,0.679,0.465,0.675,0.686,0.788,0.004,,0.185,0.000,0.462
55,0.262,0.636,0.490,0.779,0.622,0.379,0.724,0.334,0.744,0.672,0.653,0.568,0.053,0.418,0.342,0.041
56,0.413,0.375,0.047,0.734,0.691,0.467,0.683,0.241,0.762,0.620,0.700,0.036,,0.534,0.054,0.006
57,0.711,0.582,0.156,0.513,0.445,0.491,0.708,0.305,0.627,0.509,0.849,0.110,,0.179,0.000,0.002
58,0.809,0.529,0.053,0.774,0.703,0.524,0.764,0.266,0.823,0.600,0.810,0.023,,0.337,0.000,0.002
59,0.792,0.515,0.049,0.852,0.602,0.630,0.721,0.383,0.847,0.411,0.807,0.038,,0.379,0.000,0.133
60,0.652,0.568,0.377,0.403,0.385,0.765,0.628,0.444,0.548,0.643,0.797,0.402,,0.259,0.000,0.222
61,0.811,0.557,0.016,0.860,0.739,0.580,0.742,0.431,0.853,0.642,0.821,0.011,,0.398,0.000,0.113
62,0.716,0.518,0.321,0.473,0.483,0.636,0.624,0.350,0.605,0.681,0.763,0.273,,0.271,0.000,0.228
63,0.362,0.700,0.864,0.727,0.340,0.525,0.614,0.446,0.654,0.710,0.639,0.751,,0.282,0.484,0.460
64,0.617,0.654,0.292,0.474,0.415,0.548,0.662,0.321,0.638,0.554,0.828,0.185,,0.276,0.050,0.116
65,0.564,0.382,0.000,0.787,0.775,0.475,0.727,0.292,0.858,0.340,0.717,,,0.561,0.000,0.030
66,0.671,0.446,0.000,0.898,0.771,0.535,0.719,0.351,0.878,0.356,0.771,,,0.485,0.000,0.014
67,0.134,0.492,0.410,0.668,0.590,0.284,0.633,0.219,0.645,0.481,0.602,0.146,0.053,0.443,0.415,0.002
68,0.761,0.473,0.329,0.732,0.720,0.573,0.740,0.335,0.797,0.660,0.797,0.180,,0.416,0.000,0.021
69,0.356,0.730,0.554,0.733,0.561,0.282,0.653,0.314,0.693,0.633,0.689,0.752,,0.416,0.255,0.006
70,0.302,0.675,0.584,0.696,0.574,0.337,0.632,0.311,0.657,0.605,0.648,0.547,,0.423,0.456,0.006
71,0.646,0.463,0.279,0.815,0.722,0.435,0.766,0.317,0.892,0.557,0.776,0.135,,0.427,0.000,0.026
72,0.292,0.579,0.416,0.531,0.296,0.707,0.415,0.528,0.517,0.356,0.371,0.480,0.203,0.367,0.302,0.573
73,0.817,0.507,0.051,0.741,0.669,0.378,0.743,0.322,0.756,0.654,0.816,0.049,,0.481,0.000,0.014
74,0.755,0.580,0.322,0.446,0.438,0.667,0.610,0.436,0.635,0.601,0.788,0.310,,0.324,0.000,0.180
75,0.861,0.529,0.141,0.458,0.475,0.416,0.671,0.303,0.631,0.615,0.836,0.111,,0.267,0.000,0.004
76,0.743,0.468,0.259,0.871,0.706,0.411,0.750,0.330,0.851,0.477,0.803,0.225,,0.454,0.000,0.005
77,0.422,0.667,0.370,0.822,0.512,0.690,0.660,0.688,0.735,0.669,0.729,0.359,0.022,0.467,0.286,0.164
78,0.335,0.672,0.640,0.636,0.457,0.329,0.624,0.319,0.613,0.626,0.685,0.509,0.047,0.391,0.409,0.013
79,0.196,0.404,0.562,0.645,0.509,0.308,0.659,0.247,0.674,0.643,0.618,0.239,0.004,0.418,0.277,0.000
80,0.911,0.508,0.000,0.546,0.482,0.670,0.683,0.612,0.626,0.763,0.828,,,0.401,0.000,0.089
81,0.894,0.523,0.183,0.543,0.474,0.457,0.677,0.474,0.598,0.710,0.862,0.209,,0.392,0.000,0.256
82,0.346,0.664,0.594,0.758,0.494,0.652,0.666,0.642,0.701,0.622,0.647,0.654,0.090,0.471,0.258,0.173
83,0.433,0.285,0.030,0.854,0.852,0.405,0.726,0.278,0.875,0.301,0.757,0.012,,0.424,0.000,0.000
84,0.755,0.473,0.023,0.844,0.741,0.633,0.735,0.423,0.820,0.515,0.832,0.012,,0.406,0.000,0.055
85,0.344,0.627,0.685,0.343,0.351,0.295,0.667,0.284,0.615,0.625,0.728,0.658,,0.151,0.237,0.002
86,0.874,0.476,0.293,0.477,0.381,0.732,0.667,0.550,0.633,0.799,0.822,0.298,,0.332,0.000,0.090
87,0.871,0.496,0.073,0.879,0.586,0.778,0.677,0.629,0.814,0.716,0.840,0.050,,0.351,0.000,0.072
88,0.890,0.460,0.126,0.656,0.593,0.792,0.710,0.718,0.740,0.760,0.820,0.134,,0.452,0.000,0.244
89,0.364,0.645,0.628,0.356,0.341,0.333,0.646,0.331,0.600,0.661,0.723,0.699,,0.155,0.194,0.009
90,0.723,0.476,0.113,0.772,0.725,0.453,0.717,0.364,0.792,0.739,0.709,0.127,,0.499,0.000,0.004
91,0.247,0.520,0.444,0.583,0.542,0.186,0.562,0.227,0.504,0.361,0.583,0.169,0.027,0.412,0.315,0.002
92,0.881,0.461,0.302,0.525,0.455,0.764,0.670,0.748,0.637,0.704,0.796,0.328,,0.381,0.000,0.665
93,0.301,0.538,0.543,0.758,0.605,0.407,0.737,0.346,0.766,0.678,0.657,0.447,0.005,0.497,0.116,0.013
94,0.727,0.432,0.590,0.755,0.428,0.755,0.702,0.704,0.754,0.436,0.562,0.656,,0.350,0.000,0.757
95,0.157,0.565,0.016,0.236,0.511,0.071,0.310,0.031,0.029,0.111,0.098,0.039,0.175,0.457,0.610,0.094
96,0.735,0.448,0.623,0.739,0.536,0.585,0.712,0.445,0.737,0.456,0.607,0.544,,0.437,0.000,0.240
97,0.850,0.490,0.678,0.887,0.606,0.572,0.741,0.509,0.847,0.427,0.655,0.644,,0.533,0.000,0.061
98,0.380,0.585,0.616,0.715,0.551,0.366,0.682,0.373,0.783,0.360,0.609,0.637,,0.348,0.004,0.080
99,0.695,0.484,0.632,0.863,0.669,0.570,0.744,0.482,0.836,0.486,0.644,0.543,,0.490,0.000,0.029
100,0.524,0.508,0.633,0.705,0.428,0.567,0.632,0.401,0.750,0.370,0.545,0.614,,0.300,0.000,0.758
101,0.467,0.208,0.471,0.688,0.615,0.476,0.638,0.311,0.679,0.240,0.439,0.224,,0.397,0.000,0.002
102,0.474,0.534,0.597,0.738,0.607,0.485,0.693,0.370,0.804,0.351,0.557,0.546,,0.366,0.000,0.104
103,0.800,0.469,0.933,0.842,0.439,0.716,0.716,0.565,0.906,0.758,0.711,0.750,,0.262,0.000,0.019
104,0.710,0.413,0.736,0.442,0.443,0.579,0.672,0.418,0.666,0.688,0.732,0.553,,0.123,0.000,0.002
105,0.838,0.492,0.808,0.903,0.539,0.688,0.723,0.508,0.904,0.374,0.680,0.750,,0.334,0.000,0.126
106,0.840,0.495,0.890,0.592,0.409,0.645,0.669,0.499,0.717,0.348,0.658,0.603,,0.389,0.000,0.219
107,0.866,0.465,0.748,0.748,0.500,0.617,0.706,0.560,0.746,0.362,0.653,0.671,,0.469,0.000,0.563
108,0.830,0.413,0.854,0.514,0.278,0.718,0.698,0.644,0.626,0.380,0.589,0.626,,0.298,0.000,0.544
109,0.812,0.480,0.312,0.821,0.658,0.594,0.740,0.444,0.825,0.706,0.797,0.295,,0.433,0.000,0.092
110,0.811,0.425,0.785,0.894,0.517,0.480,0.737,0.355,0.909,0.365,0.648,0.724,,0.255,0.000,0.156
111,0.822,0.460,0.678,0.816,0.556,0.713,0.705,0.555,0.796,0.391,0.629,0.656,,0.403,0.000,0.198
112,0.673,0.379,0.489,0.870,0.688,0.277,0.740,0.301,0.861,0.725,0.734,0.337,,0.270,0.000,0.006
113,0.751,0.413,0.767,0.838,0.590,0.492,0.834,0.398,0.855,0.331,0.639,0.511,,0.394,0.000,0.021
114,0.838,0.458,0.787,0.888,0.552,0.498,0.785,0.439,0.884,0.361,0.670,0.663,,0.372,0.000,0.066
115,0.876,0.449,0.787,0.846,0.538,0.728,0.815,0.512,0.848,0.386,0.642,0.661,,0.362,0.000,0.109
116,0.781,0.284,0.951,0.497,0.331,0.504,0.749,0.378,0.663,0.359,0.567,0.672,,0.209,0.000,0.021
117,0.802,0.355,0.804,0.691,0.345,0.766,0.736,0.655,0.717,0.407,0.588,0.629,,0.342,0.000,0.671
118,0.695,0.355,0.759,0.874,0.576,0.432,0.753,0.362,0.894,0.324,0.632,0.557,,0.284,0.000,0.060
119,0.751,0.322,0.616,0.721,0.558,0.597,0.704,0.391,0.711,0.318,0.510,0.500,,0.348,0.000,0.024
120,0.832,0.335,0.752,0.810,0.508,0.723,0.757,0.613,0.777,0.375,0.621,0.649,,0.414,0.000,0.129
121,0.758,0.384,0.765,0.840,0.599,0.573,0.796,0.386,0.872,0.325,0.618,0.501,,0.261,0.000,0.020
122,0.395,0.222,0.747,0.782,0.520,0.360,0.777,0.322,0.822,0.314,0.606,0.611,,0.326,0.000,0.014
123,0.783,0.344,0.813,0.798,0.427,0.416,0.753,0.419,0.840,0.408,0.606,0.603,,0.154,0.000,0.709
124,0.896,0.419,0.731,0.856,0.556,0.750,0.843,0.468,0.856,0.384,0.680,0.690,,0.287,0.000,0.087
125,0.776,0.364,0.742,0.790,0.616,0.574,0.810,0.400,0.867,0.330,0.632,0.481,,0.239,0.000,0.039
126,0.879,0.424,0.870,0.539,0.354,0.755,0.742,0.502,0.671,0.404,0.642,0.689,,0.098,0.000,0.364
127,0.557,0.263,0.675,0.870,0.649,0.215,0.797,0.249,0.916,0.297,0.642,0.368,,0.369,0.000,0.003
128,0.664,0.296,0.685,0.826,0.596,0.606,0.852,0.413,0.818,0.374,0.665,0.705,,0.280,0.000,0.062
129,0.828,0.384,0.743,0.888,0.621,0.386,0.817,0.360,0.926,0.388,0.665,0.635,,0.317,0.000,0.060
130,0.760,0.365,0.680,0.842,0.650,0.437,0.814,0.330,0.882,0.327,0.601,0.443,,0.295,0.000,0.006
131,0.894,0.390,0.621,0.519,0.377,0.616,0.690,0.364,0.637,0.330,0.578,0.549,,0.080,0.000,0.039
132,0.531,0.251,0.657,0.780,0.548,0.491,0.789,0.346,0.773,0.300,0.617,0.593,,0.250,0.000,0.016
133,0.478,0.231,0.738,0.658,0.547,0.226,0.721,0.192,0.645,0.295,0.142,0.312,,0.174,0.000,0.000
134,0.435,0.221,0.582,0.822,0.581,0.231,0.784,0.215,0.801,0.299,0.406,0.404,,0.255,0.000,0.002
135,0.259,0.084,0.435,0.808,0.634,0.157,0.803,0.074,0.812,0.253,0.082,0.082,,0.279,0.000,0.000
136,0.750,0.459,0.301,0.836,0.707,0.568,0.750,0.404,0.859,0.565,0.763,0.257,,0.525,0.000,0.041
137,0.755,0.429,0.660,0.860,0.694,0.541,0.779,0.398,0.889,0.600,0.767,0.582,,0.449,0.000,0.023
138,0.863,0.437,0.644,0.781,0.674,0.462,0.744,0.513,0.793,0.810,0.838,0.552,,0.402,0.000,0.134
139,0.468,0.495,0.557,0.805,0.638,0.507,0.731,0.426,0.793,0.732,0.671,0.490,,0.579,0.000,0.042
140,0.739,0.477,0.634,0.823,0.634,0.554,0.717,0.428,0.810,0.698,0.696,0.532,,0.467,0.000,0.119
141,0.239,0.785,0.491,0.632,0.332,0.512,0.606,0.386,0.593,0.601,0.684,0.277,0.453,0.423,0.546,0.236
142,0.255,0.834,0.014,0.606,0.403,0.499,0.584,0.334,0.563,0.549,0.684,0.010,0.486,0.422,0.544,0.116
143,0.221,0.752,0.561,0.479,0.342,0.701,0.608,0.304,0.509,0.515,0.704,0.279,0.237,0.328,0.426,0.059
144,0.231,0.583,0.021,0.400,0.378,0.591,0.614,0.249,0.519,0.535,0.761,0.016,0.009,0.265,0.300,0.037
145,0.503,0.613,0.139,0.824,0.713,0.711,0.733,0.513,0.760,0.675,0.796,0.144,,0.455,0.053,0.134
146,0.504,0.575,0.629,0.834,0.590,0.593,0.728,0.498,0.796,0.664,0.671,0.684,,0.569,0.000,0.066
147,0.745,0.504,0.273,0.844,0.698,0.567,0.730,0.359,0.842,0.592,0.777,0.249,,0.534,0.000,0.098
148,0.767,0.539,0.354,0.826,0.696,0.618,0.707,0.422,0.824,0.630,0.772,0.368,,0.466,0.000,0.045
149,0.407,0.583,0.583,0.742,0.556,0.419,0.689,0.390,0.772,0.728,0.603,0.640,,0.390,0.075,0.020
150,0.510,0.537,0.705,0.785,0.537,0.687,0.722,0.573,0.816,0.862,0.668,0.633,,0.505,0.000,0.176
151,0.732,0.268,0.606,0.832,0.611,0.484,0.747,0.377,0.791,0.290,0.549,0.562,,0.381,0.000,0.017
152,0.707,0.299,0.717,0.797,0.515,0.546,0.731,0.473,0.792,0.339,0.606,0.650,,0.429,0.000,0.122
153,0.334,0.219,0.716,0.866,0.529,0.322,0.892,0.304,0.892,0.385,0.649,0.648,,0.265,0.000,0.002
154,0.426,0.242,0.721,0.820,0.564,0.488,0.824,0.380,0.836,0.312,0.621,0.579,,0.427,0.000,0.023
155,0.318,0.156,0.644,0.727,0.603,0.263,0.721,0.239,0.782,0.262,0.443,0.332,,0.481,0.000,0.002
156,0.337,0.222,0.650,0.870,0.624,0.254,0.772,0.277,0.862,0.320,0.585,0.617,,0.443,0.000,0.000
157,0.592,0.187,0.747,0.712,0.570,0.386,0.728,0.310,0.750,0.264,0.503,0.446,,0.345,0.000,0.003
